"MACAddress","EndpointGroup"
"AA:BB:CC:DD:00:01","BYOD-Wireless"
"AA:BB:CC:DD:00:02","BYOD-Wireless"
"AA:BB:CC:DD:00:03","BYOD-Wireless"
"11:22:33:44:55:01","Corporate-Wired"
"11:22:33:44:55:02","Corporate-Wired"
"11:22:33:44:55:03","Corporate-Wired"
"11:22:33:44:55:04","Corporate-Wired"
"DE:AD:BE:EF:00:01","IoT-Devices"
"DE:AD:BE:EF:00:02","IoT-Devices"
"CA:FE:BA:BE:00:01","Guest-Devices"
"CA:FE:BA:BE:00:02","Guest-Devices"
"CA:FE:BA:BE:00:03","Guest-Devices"
"CA:FE:BA:BE:00:04","Guest-Devices"
""CA:FE:BA:BE:00:05"",""Guest-Devices""
